---------------------------...
DATE: 2015-04-13
L_MIN: 30
L_MAX: 2508
FILENAME: COM_PowerSpect_CMB_R2.01.fits
PROCVER: DX11d
+-------+------------+-----------+
| ELL   | D_ELL      | ERR       |
| 536   | 2423.146   | 157.869   |
| 537   | 2351.284   | 157.725   |
| 538   | 2693.799   | 157.568   |
| 539   | 2565.737   | 157.398   |
| 540   | 2581.971   | 157.205   |
| 541   | 2423.369   | 157.009   |
| 542   | 2397.87    | 156.802   |
| 543   | 2384.152   | 156.582   |
| 544   | 2628.825   | 156.35    |
| 545   | 2580.09    | 156.106   |
| 546   | 2600.993   | 155.85    |
| 547   | 2539.287   | 155.583   |
| 548   | 2694.606   | 155.303   |
| 549   | 2419.009   | 155.013   |
| 550   | 2266.033   | 154.712   |
| 551   | 2465.729   | 154.399   |
| 552   | 2582.528   | 154.075   |
| 553   | 2467.172   | 153.741   |
| 554   | 2822.023   | 153.396   |
| 555   | 2594.821   | 153.041   |
| 556   | 2672.078   | 152.675   |
| 557   | 2494.267   | 152.299   |
| 558   | 2701.08    | 151.914   |
| 559   | 2447.562   | 151.518   |
| 560   | 2324.602   | 151.113   |
| 561   | 2693.736   | 150.699   |
| 562   | 2603.436   | 150.276   |
| 563   | 2561.228   | 149.843   |
| 564   | 2417.044   | 149.402   |
| 565   | 2428.008   | 148.952   |
| 566   | 2552.249   | 148.494   |
| 567   | 2855.656   | 148.028   |
| 568   | 2450.936   | 147.553   |
| 569   | 2570.631   | 147.071   |
| 570   | 2231.548   | 146.597   |
| 571   | 2366.944   | 146.1     |
| 572   | 2424.044   | 145.596   |
| 573   | 2345.408   | 145.085   |
| 574   | 2512.021   | 144.568   |
| 575   | 2381.216   | 144.044   |
| 576   | 2437.922   | 143.514   |
| 577   | 2693.008   | 142.978   |
| 578   | 2438.513   | 142.436   |
| 579   | 2364.085   | 141.889   |
| 580   | 2518.884   | 141.336   |
| 581   | 2600.373   | 140.778   |
| 582   | 2152.257   | 140.216   |
| 583   | 2365.009   | 139.667   |
| 584   | 2266.446   | 139.097   |
| 585   | 2280.285   | 138.522   |
| 586   | 2414.551   | 137.945   |
| 587   | 2600.868   | 137.364   |
| 588   | 2536.638   | 136.78    |
| 589   | 2435.783   | 136.193   |
| 590   | 2333.94    | 135.603   |
| 591   | 2197.037   | 135.012   |
| 592   | 2359.066   | 134.418   |
| 593   | 2280.672   | 133.822   |
| 594   | 2178.537   | 133.225   |
| 595   | 2215.168   | 132.627   |
| 596   | 2150.162   | 132.028   |
| 597   | 2185.494   | 131.428   |
| 598   | 2234.946   | 130.827   |
| 599   | 2203.983   | 130.226   |
| 600   | 2226.249   | 129.625   |
| 601   | 2439.112   | 129.025   |
| 602   | 2228.767   | 128.425   |
| 603   | 1967.072   | 127.826   |
| 604   | 1957.868   | 127.228   |
| 605   | 2136.55    | 126.632   |
| 606   | 2313.381   | 126.037   |
| 607   | 2275.212   | 125.443   |
| 608   | 2227.222   | 124.852   |
| 609   | 1926.078   | 124.264   |
| 610   | 2193.299   | 123.678   |
| 611   | 2079.089   | 123.094   |
| 612   | 1957.261   | 122.514   |
| 613   | 2215.984   | 121.937   |
| 614   | 2264.132   | 121.364   |
| 615   | 2415.412   | 120.794   |
| 616   | 1947.959   | 120.228   |
| 617   | 2126.494   | 119.667   |
| 618   | 2012.884   | 119.11    |
| 619   | 1879.526   | 118.557   |
| 620   | 2186.495   | 118.01    |
| 621   | 2171.42    | 117.467   |
| 622   | 1875.199   | 116.93    |
| 623   | 1862.619   | 116.398   |
| 624   | 2042.79    | 115.873   |
| 625   | 2052.179   | 115.353   |
| 626   | 1904.668   | 114.839   |
| 627   | 1997.819   | 114.332   |
| 628   | 2025.085   | 113.831   |
| 629   | 1843.131   | 113.337   |
| 630   | 1973.308   | 112.85    |
| 631   | 2027.241   | 112.37    |
| 632   | 1849.328   | 111.897   |
| 633   | 1783.739   | 111.431   |
| 634   | 2106.455   | 110.973   |
| 635   | 2016.731   | 110.523   |
| 636   | 1721.075   | 110.08    |
| 637   | 1961.269   | 109.646   |
| 638   | 2024.694   | 109.219   |
